Lexical simplification	Syntactic Simplification
صبح ہوتے ہی بیٹے نے ملازمہ کے ہاتھوں ایک خط دیکر اپنی ماں کے پاس بھیجا۔	صبح بیٹے نے ملازمہ کو ایک خط دیکر اپنی ماں کے پاس بھیجا۔
خط میں لکھا تھا۔ امی جان! کل آپ ہمارے گھر آئیں اور ہمارے بیٹے عاصم کو لیکر چلی گئیں۔	خط میں لکھا تھا کہ امی جان! کل آپ ہمارے بیٹے عاصم کو ساتھ  لیکر چلی گئیں۔
اگر ہم موجود ہوتے تو شاید اُسے آپ کے ساتھ جانے نہ دیتے کیوں کہ وہ ہمیں بہت زیادہ پیارا ہے۔	اگر ہم موجود ہوتے تو اُسے آپ کےساتھ جانے نہیں دیتے ۔
 اس کے بغیر ایک دن گزارنا ہمارے لئے مشکل ہے۔	 اس کے بغیر ایک دن گزارنا مشکل ہے۔
 وہ نہیں تھا تو کل شام کا کھانا بھی کھایا نہیں جا سکا۔	 وہ نہیں تھا تو کل کھانا بھی نہیں کھایا گیا۔
 رات میں ہم سو نہ سکے۔  	ہم سو نہ سکے۔  
ملازمہ کو بھیج رہا ہوں ہمارا بیٹا واپس بھیج دیں - 	ہمارا بیٹا واپس بھیج دیں۔
ماں نے انکے بیٹےکو واپس بھیج دیا۔ مگر ساتھ میں ایک خط بھی دیا ۔	ماں نے انکے بیٹے کو ایک خط بھی دے کر بھیجا۔
 جس میں لکھا تھا۔ تمھیں اپنے بیٹے سےدور ہونے کا کتنااحساس ہوا۔	 جس میں لکھا تھا کہ تمھیں اپنے بیٹے سےدور ہونے کا کتنااحساس ہوا۔
 اب تمہیں معلوم ہوا ہوگا کہ بیٹے کی دور ہونے کا غم کیا ہوتا ہے۔	تمہیں معلوم ہوا ہوگا کہ بیٹے کے دور ہونے کا غم کیا ہوتا ہے۔
 اپنی شادی ہو جانے کے بعد بھی تم نے ہم سے ملنا مناسب نہ سمجھا-	شادی کے بعد تم نے ہم سے ملنا مناسب نہ سمجھا۔-
تمہارا ایک دن میں یہ حال ہوا ہے۔	تمہارا ایک دن میں یہ حال ہوا ہے۔
ذرا سوچو! تم مجھ سے دس سال سےدور ہو، میرا کیا حال ہو رہا ہوگا؟	تم مجھ سےدور ہو، میرا کیا حال ہو رہا ہوگا؟
بہت سے لوگ اُس جگہ جمع تھے جہاں ایک مزدور دو منزلہ عمارت سے گر کر مر چکا تھا۔	ایک مزدور عمارت سے گر کر مر چکا تھا۔
زمین پر دو خط بھی اسکی جیب سے گر پڑے تھے ایک خط اسکی بیوی نے لکھا تھا۔	دو خط اسکے جیب سے ملیں ایک خط اسکی بیوی نے لکھا تھا۔
کل رات میں نے ایک ڈراونا خواب دیکھا ہے۔	میں نے ایک ڈراونا خواب دیکھا ہے۔
 آپ کام کرتے کرتے بہت اونچائی سے گر کر الله سے جا ملے ہیں ۔	 آپ بہت اونچائی سے گر کر الله سے جا ملے ہیں۔ 
 خدا نہ کرے ایسا ہو لیکن جب سے خواب دیکھا ہے میں بہت پریشان ہوں آپ اسی وقت چلے آؤ۔	میں بہت پریشان ہوں آپ اسی وقت چلے آؤ۔
دوسرا خط مزدور نے اپنی بیوی کے خط کے جواب میں لکھا تھا۔	دوسرا خط مزدور نے جواب میں لکھا تھا۔
جسےوہ بھیج نہ سکا-	جسکو وہ نہیں بھیج  سکا۔
خط میں لکھا تھا۔میں یہاں خیریت سے ہوں تم پریشان کیوں ہوتی ہو۔	 اس میں لکھا تھا کہ میں خیریت سے ہوں پریشان نہ ہو۔
 یاد رکھو خواب کبھی سچ نہیں ہوتے۔	 خواب کبھی سچ نہیں ہوتے ہے ۔
اس نے اپنے خط میں لکھا تھا- میں نےزندگی سے رضا مندی کر لی ہے- 	اس نے اپنے خط میں لکھا تھا کہ میں نےزندگی سے رضا مندی کر لی ہے۔- 
 اب مجھے ساری خوشیاں مل گئی ہیں۔ میں بہت خوش ہوں۔	مجھے ساری خوشیاں مل گئی ہیں اسلیۓ میں خوش ہوں۔
اب تم میرے بارے میں سوچا نہ کرو۔ 	 میرے بارے میں سوچا نہ کرو۔ 
خدا کرے تمہاری زندگی بھی تمہیں خوشیاں دیں۔	خدا کرے تمہیں بھی خوشیاں ملیں۔ 
اس کا خط میں مشکل سے پڑھتا ہوں۔	اس کا خط میں نے مشکل سے پڑھا
 کیونکہ خط کی سیاہی جگہ جگہ سے خراب ہوچکی ہے- 	 کیونکہ خط کی سیاہی خراب ہوئی ہے۔
 میرے چہرے پر مسکراہٹ کی ایک ہلکی سی کرن نمودار ہوتی ہے اور پھر اس کے یاد کے آنسو میرے آنکھوں میں اتے ہے اور خط پر بنے ہوئے باقی حرفوں کو بھی سیاہی بنا دیتے ہیں۔	میرے چہرے پر مسکراہٹ آتی ہے پھر اس کے یاد کے آنسو خط پر گھرنے کی وجہ سے باقی حرفوں کو بھی سیاہی بنا دیتے ہیں۔
 ہوسكتا ہے یہ لکھنے کے لئے کہ میں بھی بہت خوش ہوں، مجھے بھی ساری خوشیاں مل گئی ہیں۔ 	یہ لکھنے کے لئے کہ میں خوش ہوں  کیونکہ مجھے بھی خوشیاں مل گئی ہیں۔ 
مہربانی سے تم میرے بارے میں سوچا نہ کرو۔۔	تم بھی میرے بارے میں سوچا نہ کرو۔
دونوں بھائیوں نے جب ایک دوسرےکے ساتھ مکانات بنائے۔	دونوں بھائیوں نے ساتھ مکانات بنائے۔
تو ایک نے بڑی عمارت کھڑی کردی اور دوسرا بھائی تین کمروں پر مشتمل سادہ سا مکان بڑی مشکلوں سے بنا سکا۔	تو ایک نے بڑی عمارت کھڑی کردی اور دوسرا بھائی سادہ سا مکان بڑی مشکلوں سے بنا سکا۔
ویسے تو دونوں بھائی ایک ہی ادارے میں کلرک کے نوکری پر فائز تھے۔	ویسے تو دونوں بھائی ایک ہی ادارے میں کلرک تھے۔
 فرق صرف ایمانداری کا تھا- 	 دونوں میں فرق ایمانداری کا تھا۔
وہ جس راستے پر چل رہا تھا خود نہیں جانتا تھا کہ وہ سیدھا راستہ ہے یا پھر غلط راستہ - 	وہ جس راستے پر چل رہا تھا وہ نہیں جانتا تھا کہ وہ سیدھا راستہ ہے یا غلط راستہ۔
اسے راستے میں ایک شخص  بھی ملا تھا اس نے یہ کہہ کر اسے اپنے ساتھ لیا تھا کہ تم راستہ بھول گئے ہو۔	اسے راستے میں ایک شخص نے یہ کہہ کر اسے اپنے ساتھ لیا کہ تم راستہ بھول گئے ہو۔
آؤ میں تمہیں راستہ دیکھاؤں-	آؤ میں تمہیں راستہ دیکھاؤں۔
بے چارہ اندھا مسافر کر تا بھی کیا وہ تو اپنے راستے کے نشانات خود نہیں دیکھ سکتا تھا چپ چاپ اس کے پیچھےچلنے لگا -	اندھا مسافر خود نہیں دیکھ سکتا تھا اس کے پیچھےچلنے لگا۔ -
لیکن راستہ چلتے چلتے جب دور تک آ گئے تو پتہ چلا کہ وہ تو غلط راستہ تھا اور جس شخص نے راستہ دکھایا تھا وہ فرشتہ نہیں شیطان تھا وہ ہوش کھو بیٹھا۔	آخر میں  پتہ چلا کہ  راستہ غلط  تھا اور  راستہ دکھانے والا فرشتہ نہیں شیطان تھا، وہ ہوش کھو بیٹھا۔
حیف۔۔!دنیا کےساتھ آخرت بھی تباہ ہو گئی۔	دنیا کےساتھ آخرت بھی تباہ ہو گئی۔
اب وہ افسوس کررہا تھا اے کاش کہ وہ ان پڑھ نہ ہوتا۔	وہ افسوس کر رہا تھا کہ وہ ان پڑھ نہ ہوتا۔
علم کی روشنی ہوتی تو  وہ ان آنکھوں کی روشنی میں اپنی کامیاب زندگی اور آخرت کے لئے سفر کا شروع سیدھے راستے سے کرتا۔ 	علم کی روشنی میں اپنی کامیاب زندگی اور آخرت کے لئے سفر کا شروع سیدھے راستے سے کرتا۔ 
صحیح اور غلط میں فرق کر سکتا-	صحیح اور غلط میں فرق کر سکتا۔-
